morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_es,type,tense,aspect,number,inactive,is_cognate,is_false_friend,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
.,,,.,,,,,,,,,,,,,
the,,,det,,,def,,,,,,,,,,
a,,,det,,,indef,,,,,,,,,,
he,,,pron,M,M,subject,,,,,,,,,,
she,,,pron,F,F,subject,,,,,,,,,,
man,MAN,HUMAN,noun,M,M-F,,,,,,,,,,,
boy,BOY,CHILD,noun,M,M-F,,,,,,,,,,,
father,FATHER,PARENT,noun,M,M-F,relational,,,,,,,,,,
brother,BROTHER,SIBLING,noun,M,M-F,relational,,,,,,,,,,
grandfather,GRANDFATHER,GRANDPARENT,noun,M,M-F,relational,,,,,,,,,,
uncle,UNCLE,UNCLES,noun,M,M-F,relational,,,,,,,,,,
host,HOST,HOST,noun,M,M-F,relational,,,,,,,,,,
waiter,WAITER,WAITER,noun,M,M-F,relational,,,,,,,,,,
gentleman,GENTLEMAN,GENTLEMAN,noun,M,M-F,,,,,,,,,,,
dog,DOG,DOG,noun,M,M-F,relational,,,,,,,,,,
woman,WOMAN,HUMAN,noun,F,M-F,,,,,,,,,,,
girl,GIRL,CHILD,noun,F,M-F,,,,,,,,,,,
mother,MOTHER,PARENT,noun,F,M-F,relational,,,,,,,,,,
sister,SISTER,SIBLING,noun,F,M-F,relational,,,,,,,,,,
grandmother,GRANDMOTHER,GRANDPARENT,noun,F,M-F,relational,,,,,,,,,,
aunt,AUNT,UNCLES,noun,F,M-F,relational,,,,,,,,,,
hostess,HOSTESS,HOST,noun,F,M-F,relational,,,,,,,,,,
lady,LADY,LADY,noun,F,M-F,,,,,,,,,,,
waitress,WAITRESS,WAITER,noun,F,M-F,relational,,,,,,,,,,
cat,CAT,CAT,noun,F,M-F,relational,,,,,,,,,,
pen,PEN,PEN,noun,,,,,,,,,,,,,
book,BOOK,BOOK,noun,,,,,,,,,,,,,
toy,TOY,TOY,noun,,,,,,,,,,,,,
ball,BALL,BALL,noun,,,,,,,,,,,,,
key,KEY,KEY,noun,,,,,,,,,,,,,
chair,CHAIR,CHAIR,noun,,,,,,,,,,,,,
intelligent,INTELLIGENT,INTELLIGENT,adj,M-F,,,,,,,,,,,,
kind,KIND,KIND,adj,M-F,,,,,,,,,,,,
happy,HAPPY,HAPPY,adj,M-F,,,,,,,,,,,,
sad,SAD,SAD,adj,M-F,,,,,,,,,,,,
tall,TALL,TALL,adj,M,,,,,,,,,,,,
tall,TALL,TALL,adj,F,,,,,,,,,,,,
short,SHORT,SHORT,adj,M,,,,,,,,,,,,
short,SHORT,SHORT,adj,F,,,,,,,,,,,,
tired,TIRED,TIRED,adj,M,,,,,,,,,,,,
tired,TIRED,TIRED,adj,F,,,,,,,,,,,,
busy,BUSY,BUSY,adj,M,,,,,,,,,,,,
busy,BUSY,BUSY,adj,F,,,,,,,,,,,,
calm,CALM,CALM,adj,M,,,,,,,,,,,,
calm,CALM,CALM,adj,F,,,,,,,,,,,,
focused,FOCUSED,FOCUSED,adj,M,,,,,,,,,,,,
focused,FOCUSED,FOCUSED,adj,F,,,,,,,,,,,,
large,LARGE,LARGE,adj,,,,,,,,,,,,,
small,SMALL,SMALL,adj,,,,,,,,,,,,,
hard,HARD,HARD ,adj,,,,,,,,,,,,,
soft,SOFT,SOFT,adj,,,,,,,,,,,,,
is,BE,BE,verb,,,copular,present,,,,,,,,,
has,HAS,HAS,verb,,,possession,present,,,,,,,,,
is,,,aux,,,auxiliary_verb,present,progressive,,,,,,,,
has,,,aux,,,auxiliary_verb,present,perfect,,,,,,,,
had,HAS,HAS,verb,,,possession,past,,,,,,,,,
swims,SWIM,SWIM,verb,,,intrans,present,,,,,,,,,
jumps,JUMP,JUMP,verb,,,intrans,present,,,,,,,,,
walks,WALK,WALK,verb,,,intrans,present,,,,,,,,,
runs,RUN,RUN,verb,,,intrans,present,,,,,,,,,
arrives,ARRIVE,ARRIVE,verb,,,intrans,present,,,,,,,,,
sneezes,SNEEZE,SNEEZE,verb,,,intrans,present,,,,,,,,,
dies,DIE,DIE,verb,,,intrans,present,,,,,,,,,
eats,EAT,EAT,verb,,,intrans,present,,,,,,,,,
pushes,PUSH,PUSH,verb,,,trans,present,,,,,,,,,
kicks,KICK,KICK,verb,,,trans,present,,,,,,,,,
carries,CARRY,CARRY,verb,,,trans,present,,,,,,,,,
gives,GIVE,GIVE,verb,,,double,present,,,,,,,,,
throws,THROW,THROW,verb,,,double,present,,,,,,,,,
shows,SHOW,SHOW,verb,,,double,present,,,,,,,,,
swam,SWIM,SWIM,verb,,,intrans,past,,,,,,,,,
jumped,JUMP,JUMP,verb,,,intrans,past,,,,,,,,,
walked,WALK,WALK,verb,,,intrans,past,,,,,,,,,
ran,RUN,RUN,verb,,,intrans,past,,,,,,,,,
arrived,ARRIVE,ARRIVE,verb,,,intrans,past,,,,,,,,,
sneezed,SNEEZE,SNEEZE,verb,,,intrans,past,,,,,,,,,
died,DIE,DIE,verb,,,intrans,past,,,,,,,,,
ate,EAT,EAT,verb,,,intrans,past,,,,,,,,,
pushed,PUSH,PUSH,verb,,,trans,past,,,,,,,,,
kicked,KICK,KICK,verb,,,trans,past,,,,,,,,,
carried,CARRY,CARRY,verb,,,trans,past,,,,,,,,,
gave,GIVE,GIVE,verb,,,double,past,,,,,,,,,
throwed,THROW,THROW,verb,,,double,past,,,,,,,,,
showed,SHOW,SHOW,verb,,,double,past,,,,,,,,,
swimming,SWIM,SWIM,participle,,,intrans,,progressive,,,,,,,,
jumping,JUMP,JUMP,participle,,,intrans,,progressive,,,,,,,,
walking,WALK,WALK,participle,,,intrans,,progressive,,,,,,,,
running,RUN,RUN,participle,,,intrans,,progressive,,,,,,,,
arriving,ARRIVE,ARRIVE,participle,,,intrans,,progressive,,,,,,,,
sneezing,SNEEZE,SNEEZE,participle,,,intrans,,progressive,,,,,,,,
dying,DIE,DIE,participle,,,intrans,,progressive,,,,,,,,
eating,EAT,EAT,participle,,,intrans,,progressive,,,,,,,,
pushing,PUSH,PUSH,participle,,,trans,,progressive,,,,,,,,
kicking,KICK,KICK,participle,,,trans,,progressive,,,,,,,,
carrying,CARRY,CARRY,participle,,,trans,,progressive,,,,,,,,
giving,GIVE,GIVE,participle,,,double,,progressive,,,,,,,,
throwing,THROW,THROW,participle,,,double,,progressive,,,,,,,,
showing,SHOW,SHOW,participle,,,double,,progressive,,,,,,,,
swum,SWIM,SWIM,participle,,,intrans,,perfect,,,,,,,,
jumped,JUMP,JUMP,participle,,,intrans,,perfect,,,,,,,,
walked,WALK,WALK,participle,,,intrans,,perfect,,,,,,,,
run,RUN,RUN,participle,,,intrans,,perfect,,,,,,,,
arrived,ARRIVE,ARRIVE,participle,,,intrans,,perfect,,,,,,,,
sneezed,SNEEZE,SNEEZE,participle,,,intrans,,perfect,,,,,,,,
died,DIE,DIE,participle,,,intrans,,perfect,,,,,,,,
eaten,EAT,EAT,participle,,,intrans,,perfect,,,,,,,,
pushed,PUSH,PUSH,participle,,,trans,,perfect,,,,,,,,
kicked,KICK,KICK,participle,,,trans,,perfect,,,,,,,,
carried,CARRY,CARRY,participle,,,trans,,perfect,,,,,,,,
given,GIVE,GIVE,participle,,,double,,perfect,,,,,,,,
thrown,THROW,THROW,participle,,,double,,perfect,,,,,,,,
shown,SHOW,SHOW,participle,,,double,,perfect,,,,,,,,
to,,,prep,,,to,,,,,,,,,,
man's,MAN,HUMAN,gen,,,,,,,,,,,,,
boy's,BOY,CHILD,gen,,,,,,,,,,,,,
father's,FATHER,PARENT,gen,,,,,,,,,,,,,
brother's,BROTHER,SIBLING,gen,,,,,,,,,,,,,
grandfather's,GRANDFATHER,GRANDPARENT,gen,,,,,,,,,,,,,
uncle's,UNCLE,UNCLES,gen,,,,,,,,,,,,,
host's,HOST,HOST,gen,,,,,,,,,,,,,
waiter's,WAITER,WAITER,gen,,,,,,,,,,,,,
gentleman's,GENTLEMAN,GENTLEMAN,gen,,,,,,,,,,,,,
dog's,DOG,DOG,gen,,,,,,,,,,,,,
woman's,WOMAN,HUMAN,gen,,,,,,,,,,,,,
girl's,GIRL,CHILD,gen,,,,,,,,,,,,,
mother's,MOTHER,PARENT,gen,,,,,,,,,,,,,
sister's,SISTER,SIBLING,gen,,,,,,,,,,,,,
grandmother's,GRANDMOTHER,GRANDPARENT,gen,,,,,,,,,,,,,
aunt's,AUNT,UNCLES,gen,,,,,,,,,,,,,
hostess's,HOSTESS,HOST,gen,,,,,,,,,,,,,
lady's,LADY,LADY,gen,,,,,,,,,,,,,
waitress's,WAITRESS,WAITER,gen,,,,,,,,,,,,,
cat's,CAT,CAT,gen,,,,,,,,,,,,,
and,,,conj,,,and,,,,,,,,,,
that,,,rel,,,that,,,,,,,,,,
of,,,prep,,,of,,,,,,,,,,
from,,,prep,,,from,,,,,,,,,,
are,BE,BE,verb,,,copular,,,,,,,,,,
have,HAVE,HAVE,verb,,,possession,,,,,,,,,,
are,,,aux,,,auxiliary_verb,,progressive,plural,,,,,,,
have,,,aux,,,auxiliary_verb,,perfect,plural,,,,,,,
still,STILL,STILL,adverb,,,,,,,,,,,,,
for_many_years,FOR MANY YEARS,FOR MANY YEARS,adverb,,,,,,,,,,,,,
more_often,FOR MANY YEARS,FOR MANY YEARS,adverb,,,,,,,,,,,,,
